GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Average trip speed(whilst moving only)(km/h),Engine Coolant Temperature(å¡C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel used (trip)(gal),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Intake Manifold Pressure(psi),Speed (OBD)(km/h),Speed (GPS)(km/h),Trip time(whilst moving)(s)
-,16:18.0,-,-,-,-,-,-,-0.37349546,-8.04451752,4.97036266,-0.0163188,-0.03470909,-0.0370967,-0.82100856,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00013028,-,-,-,14.50377369,27,-,0
-,16:18.5,-,-,-,-,-,-,-0.35434186,-8.07324791,4.96078587,-0.01441401,-0.03308377,-0.03612047,-0.82296103,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00013223,-,-,-,14.50377369,27,-,0
-,16:19.0,-,-,-,-,-,-,-0.38307226,-8.04451752,4.96078587,-0.01679212,-0.03319671,-0.03807293,-0.82393724,0.40373418,-,13.83463383,-,81,0,0,0,-,0.00013223,-,-,-,14.50377369,27,-,0
-,16:19.5,-,-,-,-,-,-,-0.37349546,-8.02536392,4.97036266,-0.01797795,-0.03368413,-0.0370967,-0.82100856,0.40763909,-,13.83463383,-,81,0,0,0,-,0.00013435,-,-,-,14.50377369,27,-,0
-,16:20.0,-,-,-,-,-,-,-0.37349546,-8.06367111,4.96078587,-0.01517004,-0.03467106,-0.03807293,-0.82100856,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00013637,-,-,-,14.50377369,27,-,0
-,16:20.5,-,-,-,-,-,-,-0.36391866,-8.05409431,4.97036266,-0.01552683,-0.03470909,-0.0370967,-0.82100856,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00013812,-,-,-,14.50377369,26,-,0
-,16:21.0,-,-,-,-,-,-,-0.4405331,-8.01578712,4.91290188,-0.02158296,-0.04025516,-0.04490653,-0.81710362,0.40080547,-,13.83463383,-,81,0,0,875.75,-,0.00015149,-,-,-,12.47324562,26,-,0
-,16:21.5,-,-,-,-,-,-,-0.39264908,-7.92959595,4.97036266,-0.02617717,-0.03286336,-0.03123933,-0.82100856,0.40959153,-,13.83463383,-,81,51.37255096,44.70588303,875.75,-,0.00026216,-,-,-,12.03813267,26,-,0
-,16:22.0,-,-,-,-,-,-,-0.51714754,-7.93917274,5.19062948,-0.01265121,-0.02929442,-0.05466883,-0.81222248,0.42813993,-,13.91134644,-,81,71.37255096,39.2156868,1574,-,0.00026216,-,-,-,12.03813267,25,-,0
-,16:22.5,-,-,-,-,-,-,-0.38307226,-8.06367111,4.87459469,-0.01970196,-0.0388551,-0.04197785,-0.81710362,0.40373418,-,14.09392929,-,81,76.47058868,39.2156868,1503,-,0.00039323,-,-,-,10.73279285,24,-,0
